#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:02:12      0     22     38      -     33     10      0      0      0      0    405    210 
 20240215   18:02:13      0     21     38      -     29      9      0      0      0      0    405    210 
 20240215   18:02:14      0     22     38      -     30      9      0      0      0      0    405    210 
 20240215   18:02:15      0     22     38      -     28      9      0      0      0      0    405    210 
 20240215   18:02:16      0     23     38      -     29      9      0      0      0      0    405    210 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   18:02:17      0     21     38      -     37      9      0      0      0      0    405    225 
 20240215   18:02:18      0     23     38      -     39      9      0      0      0      0    405    240 
 20240215   18:02:19      0     25     38      -     25      5      0      0      0      0    810    450 
 20240215   18:02:20      0     26     38      -     22      5      0      0      0      0    810    450 
 20240215   18:02:21      0     24     38      -     34      9      0      0      0      0    405    315 
 20240215   18:02:22      0     23     38      -     34      9      0      0      0      0    405    300 
 20240215   18:02:23      0     23     38      -     35     10      0      0      0      0    405    300 
 20240215   18:02:24      0     23     38      -     34      9      0      0      0      0    405    285 
 20240215   18:02:25      0     24     38      -     33     10      0      0      0      0    405    300 
 20240215   18:02:26      0     24     38      -     33      9      0      0      0      0    405    300 
 20240215   18:02:27      0     23     38      -     32      9      0      0      0      0    405    285 
 20240215   18:02:28      0     23     38      -     35     10      0      0      0      0    405    285 
 20240215   18:02:29      0     24     38      -     37      9      0      0      0      0    405    270 
 20240215   18:02:30      0     23     38      -     33      9      0      0      0      0    405    285 
 20240215   18:02:31      0     23     38      -     33      9      0      0      0      0    405    285 
 20240215   18:02:32      0     23     38      -     34      9      0      0      0      0    405    270 
 20240215   18:02:33      0     24     38      -     34      9      0      0      0      0    405    255 
 20240215   18:02:34      0     24     38      -     38     10      0      0      0      0    405    255 
 20240215   18:02:35      0     23     38      -     38     10      0      0      0      0    405    270 
 20240215   18:02:36      0     23     38      -     38     10      0      0      0      0    405    270 
 20240215   18:02:37      0     23     38      -     35      9      0      0      0      0    405    270 
 20240215   18:02:38      0     23     38      -     35     10      0      0      0      0    405    270 
 20240215   18:02:39      0     23     38      -     34      9      0      0      0      0    405    255 
 20240215   18:02:40      0     24     38      -     37     10      0      0      0      0    405    240 
 20240215   18:02:41      0     24     38      -     39     10      0      0      0      0    405    255 
 20240215   18:02:42      0     24     38      -     36     10      0      0      0      0    405    270 
 20240215   18:02:43      0     24     38      -     39     10      0      0      0      0    405    270 
 20240215   18:02:44      0     23     38      -     35      9      0      0      0      0    405    270 
 20240215   18:02:45      0     24     38      -     35      9      0      0      0      0    405    255 
 20240215   18:02:46      0     24     38      -     35      9      0      0      0      0    405    270 
